,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
*XFN_IJH,VAR,10.0,"              *XFN_rtn   IJH_rtn
const         0.000164  0.000376
L1.*XFN_rtn   0.012545  0.069343
L1.IJH_rtn    0.242130 -0.076100
L2.*XFN_rtn  -0.037048  0.028804
L2.IJH_rtn    0.055322 -0.030234
L3.*XFN_rtn  -0.005017  0.120618
L3.IJH_rtn    0.006882 -0.040267
L4.*XFN_rtn  -0.009595 -0.005261
L4.IJH_rtn    0.030353 -0.084471
L5.*XFN_rtn  -0.042654  0.060921
L5.IJH_rtn   -0.010827 -0.052888
L6.*XFN_rtn  -0.089919  0.025012
L6.IJH_rtn    0.020104 -0.060566
L7.*XFN_rtn   0.057826  0.038069
L7.IJH_rtn    0.005256  0.009044
L8.*XFN_rtn   0.005623  0.171956
L8.IJH_rtn   -0.018746 -0.038225
L9.*XFN_rtn  -0.019263 -0.030296
L9.IJH_rtn   -0.020625 -0.006279
L10.*XFN_rtn  0.009783  0.092822
L10.IJH_rtn  -0.044060  0.020781",,,,,,
*XIC_EZA,VAR,10.0,"              *XIC_rtn   EZA_rtn
const         0.000183  0.000166
L1.*XIC_rtn   0.008498  0.043836
L1.EZA_rtn    0.120506 -0.118923
L2.*XIC_rtn  -0.005598  0.051319
L2.EZA_rtn    0.051332 -0.074824
L3.*XIC_rtn   0.020297  0.134987
L3.EZA_rtn    0.016008 -0.031040
L4.*XIC_rtn  -0.007995  0.062079
L4.EZA_rtn    0.025099 -0.082736
L5.*XIC_rtn  -0.049241  0.108422
L5.EZA_rtn   -0.012789 -0.072340
L6.*XIC_rtn  -0.083600  0.047863
L6.EZA_rtn   -0.000019 -0.066580
L7.*XIC_rtn   0.069236  0.076716
L7.EZA_rtn    0.003796 -0.048143
L8.*XIC_rtn  -0.013742  0.213778
L8.EZA_rtn   -0.003663 -0.039509
L9.*XIC_rtn  -0.031862 -0.014131
L9.EZA_rtn   -0.018863 -0.058188
L10.*XIC_rtn -0.011417  0.128823
L10.EZA_rtn  -0.014557 -0.009867",,,,,,
*XIU_REM,VECM,,,1.0,10.0,"[[-0.00112833]
 [ 0.02365675]]","[[ 1.        ]
 [-0.49007222]]","[[ 0.02289323  0.02093479  0.01368784  0.01436194  0.01030246  0.00083099
   0.00996769  0.00721413 -0.02826769 -0.00405328 -0.04867338  0.00147065
   0.05409197 -0.00225867 -0.00107495 -0.00716197 -0.01486064  0.00308419
  -0.01673204 -0.00117595]
 [ 0.19198995  0.01270145  0.10434642  0.0065919   0.11463969 -0.029974
  -0.06681585 -0.0142526   0.0613974  -0.02269829 -0.02808744 -0.01490877
  -0.01772049  0.03687209  0.30267381 -0.01683282 -0.10170983  0.06577243
   0.05941995  0.06984032]]","[[-2.50482713e-02  1.00842445e-05]
 [ 4.38131772e-01 -1.60437241e-04]]"
BKF_IGM,VAR,8.0,"             BKF_rtn   IGM_rtn
const       0.000045  0.000594
L1.BKF_rtn -0.017269  0.017681
L1.IGM_rtn -0.063377 -0.096992
L2.BKF_rtn -0.077746 -0.048278
L2.IGM_rtn  0.057878  0.038447
L3.BKF_rtn -0.009740  0.008139
L3.IGM_rtn  0.009120 -0.014075
L4.BKF_rtn  0.006507  0.005466
L4.IGM_rtn -0.046883 -0.037116
L5.BKF_rtn -0.036953 -0.047520
L5.IGM_rtn  0.023924  0.033330
L6.BKF_rtn -0.060591 -0.002284
L6.IGM_rtn  0.018413 -0.046841
L7.BKF_rtn -0.027576 -0.025764
L7.IGM_rtn  0.030827  0.058490
L8.BKF_rtn  0.014710  0.006167
L8.IGM_rtn -0.044993 -0.074185",,,,,,
BKF_IVV,VAR,9.0,"             BKF_rtn   IVV_rtn
const       0.000081  0.000365
L1.BKF_rtn  0.062789  0.051073
L1.IVV_rtn -0.212990 -0.171552
L2.BKF_rtn -0.077194 -0.049387
L2.IVV_rtn  0.054297  0.046059
L3.BKF_rtn  0.006618  0.023559
L3.IVV_rtn -0.023236 -0.019755
L4.BKF_rtn  0.034215  0.023142
L4.IVV_rtn -0.096721 -0.067063
L5.BKF_rtn -0.032383 -0.044589
L5.IVV_rtn  0.018493  0.027119
L6.BKF_rtn -0.071538 -0.000233
L6.IVV_rtn  0.040125 -0.036106
L7.BKF_rtn -0.021026 -0.033651
L7.IVV_rtn  0.024348  0.081937
L8.BKF_rtn  0.013208  0.011116
L8.IVV_rtn -0.033338 -0.048163
L9.BKF_rtn -0.038224 -0.049869
L9.IVV_rtn  0.103556  0.100262",,,,,,
EWD_THD,VAR,3.0,"             EWD_rtn   THD_rtn
const       0.000250  0.000278
L1.EWD_rtn -0.040382 -0.032553
L1.THD_rtn -0.106684 -0.106590
L2.EWD_rtn -0.034218  0.035180
L2.THD_rtn  0.033169 -0.014357
L3.EWD_rtn -0.015129  0.021524
L3.THD_rtn -0.010472  0.015343",,,,,,
EWG_THD,VAR,4.0,"             EWG_rtn   THD_rtn
const       0.000101  0.000281
L1.EWG_rtn  0.008133 -0.028322
L1.THD_rtn -0.101872 -0.114094
L2.EWG_rtn  0.003926  0.066119
L2.THD_rtn -0.000690 -0.031272
L3.EWG_rtn  0.008676  0.033756
L3.THD_rtn -0.001191  0.011744
L4.EWG_rtn -0.030757  0.017769
L4.THD_rtn  0.016208  0.010827",,,,,,
EWH_IJH,VAR,9.0,"             EWH_rtn   IJH_rtn
const       0.000273  0.000407
L1.EWH_rtn -0.085395 -0.006333
L1.IJH_rtn -0.079829 -0.063316
L2.EWH_rtn -0.053610 -0.045349
L2.IJH_rtn  0.037365  0.054465
L3.EWH_rtn  0.041154  0.025154
L3.IJH_rtn  0.007956 -0.029920
L4.EWH_rtn  0.034353  0.029172
L4.IJH_rtn -0.062125 -0.071757
L5.EWH_rtn -0.062511 -0.052910
L5.IJH_rtn  0.037964  0.029193
L6.EWH_rtn -0.035380 -0.000040
L6.IJH_rtn  0.021204 -0.050478
L7.EWH_rtn -0.054599 -0.043338
L7.IJH_rtn  0.041228  0.076195
L8.EWH_rtn  0.032238  0.020891
L8.IJH_rtn -0.005175 -0.035422
L9.EWH_rtn -0.020600 -0.048968
L9.IJH_rtn  0.019358  0.077439",,,,,,
EWM_EZA,VAR,8.0,"             EWM_rtn   EZA_rtn
const       0.000045  0.000254
L1.EWM_rtn -0.131043 -0.133748
L1.EZA_rtn  0.007850 -0.050465
L2.EWM_rtn  0.001922 -0.024511
L2.EZA_rtn  0.013160 -0.033459
L3.EWM_rtn -0.019144  0.007162
L3.EZA_rtn  0.036867  0.005517
L4.EWM_rtn  0.017256 -0.031763
L4.EZA_rtn -0.013881 -0.028182
L5.EWM_rtn  0.024697  0.091617
L5.EZA_rtn -0.022229 -0.066406
L6.EWM_rtn -0.013896  0.023510
L6.EZA_rtn  0.000061 -0.045858
L7.EWM_rtn  0.005741  0.042451
L7.EZA_rtn  0.008865 -0.036337
L8.EWM_rtn -0.057231 -0.062736
L8.EZA_rtn  0.016297  0.014451",,,,,,
EWQ_IYG,VAR,10.0,"              EWQ_rtn   IYG_rtn
const        0.000225  0.000325
L1.EWQ_rtn  -0.045457 -0.017449
L1.IYG_rtn  -0.037864 -0.085425
L2.EWQ_rtn   0.003865  0.054460
L2.IYG_rtn  -0.004440 -0.027158
L3.EWQ_rtn   0.001110  0.046444
L3.IYG_rtn  -0.008639 -0.061610
L4.EWQ_rtn   0.017001  0.054740
L4.IYG_rtn  -0.041415 -0.082735
L5.EWQ_rtn  -0.028718  0.003127
L5.IYG_rtn   0.014685 -0.051788
L6.EWQ_rtn  -0.018436  0.043702
L6.IYG_rtn  -0.025961 -0.080711
L7.EWQ_rtn   0.025827  0.032934
L7.IYG_rtn  -0.007377  0.028489
L8.EWQ_rtn  -0.032186 -0.028652
L8.IYG_rtn   0.021576 -0.002107
L9.EWQ_rtn  -0.067820 -0.053962
L9.IYG_rtn   0.050322  0.054810
L10.EWQ_rtn -0.062599 -0.046495
L10.IYG_rtn  0.045553  0.072242",,,,,,
