,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
*XFN_IJH,VAR,7.0,"             *XFN_rtn   IJH_rtn
const        0.000030  0.000467
L1.*XFN_rtn -0.006870  0.055567
L1.IJH_rtn   0.350479 -0.068785
L2.*XFN_rtn -0.083009  0.074944
L2.IJH_rtn   0.105637 -0.081601
L3.*XFN_rtn -0.046298  0.134221
L3.IJH_rtn   0.065952 -0.060347
L4.*XFN_rtn -0.035065  0.018749
L4.IJH_rtn   0.082270 -0.102031
L5.*XFN_rtn -0.108662  0.068127
L5.IJH_rtn   0.042994 -0.093123
L6.*XFN_rtn -0.086436  0.012730
L6.IJH_rtn   0.043533 -0.030981
L7.*XFN_rtn -0.021032  0.048652
L7.IJH_rtn   0.042934 -0.034633",,,,,,
*XIC_EZA,VECM,,,1.0,9.0,"[[-0.01306835]
 [ 0.03875842]]","[[ 1.        ]
 [-0.30834707]]","[[ 5.40611797e-02  3.41450390e-02 -1.59821486e-02  1.73995736e-02
  -2.30951527e-02  9.14036721e-03 -2.16700166e-02  1.21653877e-02
  -7.32449515e-02 -5.70523688e-05 -5.31467786e-02 -1.53105931e-03
   5.39868813e-03  4.67921468e-03  1.20896265e-02 -4.06815953e-03
  -6.38235340e-02 -2.13791934e-03]
 [ 2.05198310e-01 -1.36084272e-01  4.33006350e-01 -7.73252868e-02
   7.71292952e-01 -7.87989995e-02  4.46538542e-01 -9.89406802e-02
   4.55864021e-01 -9.34989772e-02  1.22312694e-01 -6.15091657e-02
   3.07195068e-01 -5.14362910e-02  2.09116023e-01 -3.18117392e-02
   1.91586672e-02 -5.73076596e-02]]","[[ 1.45785779e-02 -7.45857075e-06]
 [-2.06119250e-02  5.61508835e-06]]"
*XIU_REM,VECM,,,1.0,10.0,"[[-0.00280548]
 [ 0.03496664]]","[[ 1.        ]
 [-0.35477583]]","[[ 3.42569150e-02  2.12983142e-02 -1.16238366e-02  1.74943266e-02
  -1.07302716e-02  9.25769302e-04  3.45962966e-03  1.07269544e-02
  -6.40364330e-02 -1.80855787e-03 -1.93440352e-02  2.64874042e-03
   1.13022190e-02  4.80455721e-04  2.29875892e-02 -7.92187785e-03
  -7.01133886e-02  7.57149812e-03  7.19627287e-03  1.31736065e-03]
 [ 1.86641927e-01  1.64388941e-03  1.79576016e-01 -1.55518719e-04
   2.65863634e-01 -3.94584925e-02 -6.96651218e-02 -2.83198666e-02
   7.41515234e-02 -2.97569613e-02 -1.28506836e-01 -8.34488251e-03
   2.52953782e-02  3.69374607e-02  6.76574750e-02 -1.90156569e-02
  -2.81975171e-01  6.74716420e-02 -1.53992479e-01  8.51104552e-02]]","[[-3.16334940e-02  1.88575077e-05]
 [ 3.03906049e-01 -1.81394371e-04]]"
BKF_IGM,VAR,2.0,"             BKF_rtn   IGM_rtn
const      -0.000054  0.000430
L1.BKF_rtn  0.010440  0.020682
L1.IGM_rtn -0.071773 -0.060206
L2.BKF_rtn -0.117457 -0.073086
L2.IGM_rtn  0.085612  0.051062",,,,,,
BKF_IVV,VAR,6.0,"             BKF_rtn   IVV_rtn
const       0.000034  0.000304
L1.BKF_rtn  0.132170  0.071310
L1.IVV_rtn -0.305526 -0.184570
L2.BKF_rtn -0.114405 -0.060948
L2.IVV_rtn  0.063080  0.021512
L3.BKF_rtn  0.060001  0.040072
L3.IVV_rtn -0.113689 -0.045551
L4.BKF_rtn  0.022199 -0.005005
L4.IVV_rtn -0.101949 -0.016821
L5.BKF_rtn  0.000329 -0.040242
L5.IVV_rtn -0.054018 -0.003475
L6.BKF_rtn -0.122918 -0.027963
L6.IVV_rtn  0.145581  0.047930",,,,,,
EWD_THD,VAR,3.0,"             EWD_rtn   THD_rtn
const       0.000276  0.000383
L1.EWD_rtn -0.065720 -0.066019
L1.THD_rtn -0.075518 -0.062554
L2.EWD_rtn -0.050054  0.021250
L2.THD_rtn  0.005455 -0.035304
L3.EWD_rtn -0.009821  0.039802
L3.THD_rtn -0.039193 -0.016117",,,,,,
EWG_THD,VAR,4.0,"             EWG_rtn   THD_rtn
const       0.000136  0.000384
L1.EWG_rtn -0.015654 -0.063428
L1.THD_rtn -0.074225 -0.073242
L2.EWG_rtn -0.023661  0.045331
L2.THD_rtn -0.022488 -0.047003
L3.EWG_rtn  0.020891  0.051405
L3.THD_rtn -0.037127 -0.016437
L4.EWG_rtn -0.038836  0.025447
L4.THD_rtn  0.005950  0.006279",,,,,,
EWH_IJH,VAR,3.0,"             EWH_rtn   IJH_rtn
const       0.000364  0.000413
L1.EWH_rtn -0.096083  0.003332
L1.IJH_rtn -0.100400 -0.044733
L2.EWH_rtn -0.076337 -0.052033
L2.IJH_rtn  0.030673  0.015094
L3.EWH_rtn  0.078360  0.064854
L3.IJH_rtn -0.048152 -0.069987",,,,,,
EWM_EZA,VAR,7.0,"             EWM_rtn   EZA_rtn
const       0.000121  0.000362
L1.EWM_rtn -0.110614 -0.082522
L1.EZA_rtn -0.005353 -0.077632
L2.EWM_rtn -0.026439 -0.082003
L2.EZA_rtn  0.017245 -0.036468
L3.EWM_rtn -0.028803 -0.004620
L3.EZA_rtn  0.038019  0.004165
L4.EWM_rtn -0.003515 -0.047935
L4.EZA_rtn -0.002331 -0.026017
L5.EWM_rtn  0.028601  0.073435
L5.EZA_rtn -0.043667 -0.085547
L6.EWM_rtn -0.004267  0.029536
L6.EZA_rtn  0.015426 -0.024953
L7.EWM_rtn  0.014174  0.058893
L7.EZA_rtn  0.001600 -0.071671",,,,,,
EWQ_IYG,VAR,10.0,"              EWQ_rtn   IYG_rtn
const        0.000165  0.000258
L1.EWQ_rtn  -0.069593 -0.040828
L1.IYG_rtn  -0.022248 -0.062428
L2.EWQ_rtn  -0.028472  0.024575
L2.IYG_rtn  -0.008416 -0.032671
L3.EWQ_rtn  -0.019534  0.041558
L3.IYG_rtn  -0.003799 -0.067753
L4.EWQ_rtn   0.002492  0.043942
L4.IYG_rtn  -0.029677 -0.065852
L5.EWQ_rtn  -0.057631 -0.031367
L5.IYG_rtn   0.016930 -0.052882
L6.EWQ_rtn   0.019224  0.081562
L6.IYG_rtn  -0.037138 -0.087308
L7.EWQ_rtn   0.040505  0.029688
L7.IYG_rtn  -0.040144 -0.003181
L8.EWQ_rtn  -0.015610 -0.000455
L8.IYG_rtn   0.017513 -0.005893
L9.EWQ_rtn  -0.071681 -0.072466
L9.IYG_rtn   0.030056  0.043675
L10.EWQ_rtn -0.051758 -0.043880
L10.IYG_rtn  0.048015  0.085836",,,,,,
