,alpha,l1_ratio,Div Yield,Price to Book,Price to Earnings,Total_Ret_Pct_1,Total_Ret_Pct_5,Total_Ret_Pct_21,Total_Ret_Pct_63,Total_Ret_Pct_252,Fast_MACD,Med_MACD,Slow_MACD,Pair_RSI_10,Pair_RSI_21,Pair_RSI_63,Bollinger_10,Bollinger_21,Bollinger_63,zero_cross,days_s_cross,Real Credit Growth,Liquidity Growth,Change in Valuation,IG Credit Spread,HY Credit Spread,TED Spread,VIX Roll,Y_21Fwd_Lagged_21,Y_21Fwd_Lagged_42,Y_21Fwd_Lagged_63,Y_21Fwd_Lagged_252
*XFN_IJH,10.0,0.001,0.0,-0.0,-0.0,-0.0,-5.1097529038520466e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
*XIC_EZA,1.0,0.01,0.0,-0.002672638365361067,-0.0,-0.0,-0.0016258007857948007,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00046962631162276547,-0.0009891018475341462,-0.001439019067165332,-0.0,-0.0002165786864277881,-0.0014676848602904545,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
*XIU_REM,0.1,0.7,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
BKF_IGM,1.0,0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
BKF_IVV,0.1,0.1,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.006161028468454049,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
EWD_THD,0.1,0.3,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
EWG_THD,10.0,0.001,0.0,-0.0003741019753321887,-0.00032073988631063107,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.8058413276385082e-06,-0.00015452660581319254,-0.0,0.0,-0.0,-0.0,0.0,0.0
EWH_IJH,1.0,0.001,0.004404003898776387,-0.0007905751193736301,0.0,-0.002550816134873929,-0.0019824568308147955,-8.506933813702104e-06,0.001206350747526908,-0.0025084408494194413,0.00019761637197882845,0.0006624446414794186,-0.001925144471559031,0.0,0.0,-2.1050287343724115e-05,0.00010271020068331819,-0.0,-0.0,-0.0013960335823638142,0.0013283077179802626,0.0029383208749268947,-0.001883454040107389,0.0016454755338010585,0.0,-0.0,0.002929892996112109,-0.0004862202105643252,0.0,0.0,0.0,0.0
EWM_EZA,10.0,0.001,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.962367264813547e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
EWQ_IYG,0.1,0.3,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
