,alpha,l1_ratio,Div Yield,Price to Book,Price to Earnings,Total_Ret_Pct_1,Total_Ret_Pct_5,Total_Ret_Pct_21,Total_Ret_Pct_63,Total_Ret_Pct_252,Fast_MACD,Med_MACD,Slow_MACD,Pair_RSI_10,Pair_RSI_21,Pair_RSI_63,Bollinger_10,Bollinger_21,Bollinger_63,zero_cross,days_s_cross,Real Credit Growth,Liquidity Growth,Change in Valuation,IG Credit Spread,HY Credit Spread,TED Spread,VIX Roll,Y_5Fwd_Lagged_6,Y_5Fwd_Lagged_7,Y_5Fwd_Lagged_8,Y_5Fwd_Lagged_9,Y_5Fwd_Lagged_10
*XFN_IJH,0.01,0.3,0.0,-0.0,-0.0,-0.0021652340561975863,-0.006934536561857321,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0031969921630353557,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
*XIC_EZA,0.01,0.3,0.0,-0.002070281651919688,-0.0,-0.0014090179460092217,-0.00927779445415956,-0.0037967915563111897,-0.0011275699690011338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0009490034577770561,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
*XIU_REM,1.0,0.01,0.0,-0.0,0.0,-0.0,-0.00046131102519174745,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
BKF_IGM,0.01,0.3,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
BKF_IVV,0.01,0.1,-0.0,0.0,-0.0004067796260966334,-0.0007340496194181522,-0.0023764901757373376,-0.000705048206265586,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0023209934729987386,0.0021346833317868806,0.0,-0.0,0.0,0.0,-0.0,0.0006482207655272996,0.0022343957466727793,0.0,0.0013391018105155413,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EWD_THD,0.01,0.9,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
EWG_THD,0.01,0.7,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
EWH_IJH,1.0,0.001,0.0014354456863540758,-0.0,-0.0,-0.0023566901011597857,-0.0016774820413706197,-0.0003217644116334919,0.0,-0.0001678477550319567,0.0,0.0,-0.0,0.0001837572716355658,6.93666463223829e-05,0.0,0.0002541236657716269,0.00014739002107581406,0.0,-0.0,0.00010764039731902422,0.0004347892960592986,-0.00014828859325689972,0.0,0.0,-0.0,0.0006029017917617022,0.0,0.0,-0.0,-0.0,0.0,-0.0
EWM_EZA,0.01,0.5,0.0,-0.0,-0.0,-0.0,-0.002155617657109077,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
EWQ_IYG,0.01,0.7,-0.0,-0.0,-0.0,-0.0018307307081356816,-0.001995680711359555,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
